,Date,Market Value
68124,2021-11-30,-75592336870.9974
68404,2021-12-04,-74626954358.5213
68682,2021-12-05,-74934179353.97292
68960,2021-12-06,-74438872584.15054
69240,2021-12-07,-74767122533.77374
69520,2021-12-17,-75201088440.28659
69800,2021-12-18,-74429474356.55804
70078,2021-12-19,-74256148044.53275
70356,2021-12-20,-74256148043.68657
70634,2021-12-22,-75375149607.39433
70914,2021-12-23,-74186336645.07051
71194,2021-12-24,-74499149337.88902
71474,2021-12-25,-74579303841.75102
71752,2021-12-26,-74579303840.90486
72030,2021-12-28,-74646706325.25128
72310,2021-12-30,-74901316891.45941
72590,2021-12-31,-75318214680.72696
72870,2022-01-02,-73924729542.73532
73149,2022-01-03,-74075218597.1379
73429,2022-01-04,-73586118763.46675
73709,2022-01-05,-73716308109.21501
73989,2022-01-06,-73278891957.8395
74269,2022-01-07,-74246308423.42696
74549,2022-01-11,-75036808679.83011
74829,2022-01-12,-74636149794.49773
75109,2022-01-13,-75554500515.0244
75389,2022-01-14,-74799145803.1177
75669,2022-01-15,-75277752796.6421
75948,2022-01-17,-74263518018.48161
76228,2022-01-19,-75497421749.53108
76508,2022-01-22,-75991198319.48743
76787,2022-01-23,-75341407283.03325
77066,2022-01-24,-76325537381.22882
77346,2022-01-26,-75567872732.51122
77626,2022-01-27,-76392777523.04797
77906,2022-01-28,-76427522893.707
78186,2022-01-29,-77150896970.26173
78466,2022-01-31,-77587057380.31723
78746,2022-02-02,-75430462547.02254
79026,2022-02-04,-75478375048.7772
79306,2022-02-05,-76760413181.0574
79586,2022-02-07,-76761673445.9068
79866,2022-02-08,-76443497857.78473
80146,2022-02-09,-76087971060.8276
80426,2022-02-10,-75868297044.06381
80706,2022-02-12,-77720884971.40717
80986,2022-02-13,-78286023613.49878
81266,2022-02-14,-77999570168.12042
81546,2022-02-15,-76895567980.68434
81826,2022-02-16,-76456039385.29092
82106,2022-02-17,-76427350102.8947
82386,2022-02-18,-76859656327.40814
82666,2022-02-19,-76815672572.4149
82946,2022-02-20,-76812137388.22908
83226,2022-02-22,-77818108823.36142
83506,2022-02-24,-77359881477.80647
83786,2022-02-25,-77894489993.46509
84066,2022-02-26,-78283587733.61116
84344,2022-02-28,-77594334192.73248
84624,2022-03-01,-77933510443.8812
84904,2022-03-02,-78626127261.93144
85184,2022-03-03,-79415050129.05682
85464,2022-03-04,-80642195339.29128
